iter	RMSE
0	0.4364827251
1	0.4344877226
2	0.432836837
3	0.4309123233
4	0.4293994796
5	0.4282001219
6	0.4271581024
7	0.4260140656
8	0.4250000957
9	0.4241487618
10	0.4235213342
11	0.4227685373
12	0.4221464423
13	0.4216204875
14	0.421066581
15	0.4205595084
16	0.4201374199
17	0.4197759783
18	0.4193444551
19	0.4188671588
20	0.4185118326
21	0.4181683123
22	0.4178535285
23	0.4175880045
24	0.4172793296
25	0.4169431322
26	0.4166627063
27	0.4163898958
28	0.4161680087
29	0.4160282848
30	0.4157943459
31	0.4155296409
32	0.4153378603
33	0.4150274388
34	0.4147813098
35	0.4144813917
36	0.4142111203
37	0.414083616
38	0.4138803775
39	0.4136923667
40	0.4135243362
41	0.4133130729
42	0.4131221805
43	0.4129198826
44	0.4127795006
45	0.4126686389
46	0.4124616113
47	0.4122423743
48	0.4120250511
49	0.4118275045
50	0.4114970339
51	0.411398875
52	0.4112694656
53	0.4110438504
54	0.4107803835
55	0.4105383728
56	0.4103940586
57	0.4102311006
58	0.4100872675
59	0.409901099
60	0.4098437276
61	0.4095665443
62	0.4094326361
63	0.4093468668
64	0.4091860997
65	0.4090329303
66	0.4088410101
67	0.4087406538
68	0.4086012854
69	0.4084784109
70	0.4084060635
71	0.4082263432
72	0.4080746122
73	0.4078299214
74	0.4077331721
75	0.4076166226
76	0.4074322114
77	0.4073254948
78	0.4071973494
79	0.4069912132
80	0.4068579563
81	0.4067004363
82	0.4064527372
83	0.4063249838
84	0.4061293992
85	0.4058620499
86	0.4057578107
87	0.4056396602
88	0.4054641845
89	0.4052643258
90	0.405093925
91	0.4047923223
92	0.4046392815
93	0.4042383127
94	0.4039965505
95	0.403855758
96	0.4036205431
97	0.4034975575
98	0.4034002984
99	0.4032864364
100	0.4031433158
101	0.4030069712
102	0.4028863838
103	0.4027804417
104	0.4025977893
105	0.4024873904
106	0.4023217469
107	0.4020322649
108	0.4018985925
109	0.4018265116
110	0.4016874002
111	0.4015841161
112	0.4015614558
113	0.4014611435
114	0.4012641654
115	0.4010990475
116	0.4010200381
117	0.4009578234
118	0.4008688897
119	0.4006446891
120	0.400553131
121	0.4004037964
122	0.4002865249
123	0.4001735145
124	0.4000897665
125	0.3998649555
126	0.3996529189
127	0.3995612316
128	0.3993896567
129	0.3991548903
130	0.3990074498
131	0.3988080372
132	0.3986109285
133	0.3984866547
134	0.3983244721
135	0.3981342762
136	0.39788019
137	0.3978713704
138	0.3977741231
139	0.3976503404
140	0.3975184545
141	0.3973294364
142	0.3971897304
143	0.3970577021
