iter	Passed	Remaining
0	3	1933
1	6	1554
2	10	1812
3	15	1941
4	20	2007
5	25	2062
6	29	2092
7	34	2109
8	37	2028
9	38	1909
10	40	1803
11	42	1721
12	43	1647
13	45	1588
14	47	1533
15	49	1490
16	50	1448
17	52	1410
18	54	1380
19	56	1348
20	57	1318
21	59	1291
22	61	1267
23	62	1246
24	64	1230
25	66	1218
26	68	1200
27	70	1183
28	71	1168
29	73	1152
30	75	1137
31	76	1125
32	78	1112
33	80	1100
34	81	1088
35	83	1079
36	85	1067
37	86	1056
38	88	1049
39	90	1040
40	92	1030
41	93	1022
42	95	1013
43	97	1005
44	98	998
45	100	991
46	102	984
47	103	977
48	105	972
49	107	966
50	108	959
51	110	953
52	112	947
53	113	941
54	115	935
55	117	930
56	118	924
57	120	919
58	122	917
59	124	911
60	126	907
61	127	903
62	129	898
63	131	893
64	132	889
65	134	884
66	136	880
67	137	875
68	139	872
69	141	867
70	144	870
71	146	868
72	147	864
73	149	859
74	151	855
75	152	851
76	154	847
77	156	844
78	157	840
79	159	836
80	161	832
81	162	829
82	164	825
83	165	822
84	167	818
85	169	814
86	170	811
87	172	808
88	174	804
89	175	801
90	177	798
91	179	794
92	180	791
93	182	788
94	184	784
95	185	781
96	187	778
97	189	775
98	190	771
99	192	769
100	194	766
101	195	763
102	197	760
103	198	757
104	200	755
105	202	752
106	204	749
107	205	747
108	207	744
109	209	741
110	210	738
111	212	735
112	213	732
113	215	729
114	217	727
115	218	724
116	220	722
117	222	719
118	223	716
119	225	713
120	227	711
121	228	709
122	230	706
123	232	703
124	233	701
125	235	698
126	237	696
127	238	693
128	240	691
129	242	689
130	243	686
131	245	684
132	247	682
133	248	679
134	250	677
135	252	675
136	253	672
137	255	670
138	257	667
139	258	665
140	260	662
141	261	660
142	263	657
143	265	655
144	266	653
145	268	651
146	270	648
147	271	646
148	273	643
149	275	641
150	276	639
151	278	637
152	279	634
153	281	632
154	283	630
155	285	628
156	286	626
157	288	624
158	290	621
159	291	619
160	293	617
161	295	615
162	296	613
163	298	611
164	299	608
165	301	606
166	303	604
167	304	602
168	306	600
169	308	597
170	309	595
171	311	593
172	312	591
173	314	589
174	316	587
175	317	585
176	319	583
177	321	581
178	323	579
179	324	577
180	328	578
181	333	582
182	337	584
183	339	583
184	342	583
185	345	583
186	347	582
187	351	583
188	356	586
189	361	589
190	365	591
191	370	594
192	376	598
193	378	597
194	380	594
195	382	592
196	383	590
197	385	588
198	387	585
199	388	583
200	390	580
201	392	578
202	393	576
203	395	574
204	397	571
205	398	569
206	400	566
207	402	564
208	403	562
209	405	560
210	407	557
211	408	555
212	410	553
213	412	551
214	413	548
215	415	546
216	417	544
217	418	541
218	420	539
219	422	537
220	424	535
221	425	533
222	427	530
223	429	528
224	430	526
225	432	524
226	434	522
227	435	519
228	437	517
229	439	515
230	440	513
231	442	511
